Type,Content
h2,目录
h1,巴以冲突
p,进行中
p,巴勒斯坦
p,以色列-巴勒斯坦冲突是自1948年持续至今的冲突，与阿以冲突及中东战争密切相关。自约两千年前犹太人被罗马帝国逐出故土后，许多流亡的犹太人一直试图返回耶路撒冷及以色列地。第一次世界大战后，英国占领巴勒斯坦地区，建立巴勒斯坦托管地。英国在1917年的《贝尔福宣言》中承诺在阿拉伯人口占90%的巴勒斯坦地区帮助犹太人建立民族家园，这导致该地犹太人与阿拉伯人之间的冲突加剧，后演变成公开的民族冲突。二战期间纳粹大屠杀又加速了犹太人移居此地区。1947年11月，57个联合国成员国投票通过联合国大会第181号决议，将巴勒斯坦托管地分割为两个国家。议案以33票赞成、13票反对通过；美国、苏联及西欧国家投下赞成票，英国弃权，印度、阿拉伯国家反对议案。该决议通过后，第一次中东战争爆发。
p,1990年代的《奥斯陆协议》试图促成两国方案。这份协议大致划定了耶路撒冷的地位、以色列定居点、边界、安全、水权、巴勒斯坦人的自由行动权（英语：Palestinian freedom of movement）和回归权（英语：Palestinian right of return）。在争端双方的族群里，有些个人和团体呼吁完全消灭对方，双方皆有主张对方并非真正的民族，故无权建国的论述。现时大多数国家均支持以两国方案解决巴以冲突[2]；亦有人支持一国方案，即建立一个包括现在的以色列、约旦河西岸及加沙地带在内、种族及宗教地位平等的世俗国家；此外有三国方案，即将约旦河西岸和加沙地带分别并入约旦和埃及。
h2,历史[编辑]
h3,19世纪－1920：起源[编辑]
p,巴以冲突始于1880年代巴勒斯坦地区阿拉伯人与犹太人之间的冲突。自公元135年被罗马帝国驱逐出以色列地以来，许许多多流亡海外的犹太人一直试图返回故土，18世纪以后有数波小型的回归潮，从数百到上千人不等。第一次大规模的回归浪潮则始于1881年，散居在世界其他地区的犹太人为了逃避迫害，开始回流到以色列地，即古迦南之地或古犹太国之地，今巴勒斯坦地区。犹太人从奥斯曼帝国和阿拉伯人手中购买土地并定居。
p,1896年，维也纳记者和剧作家西奥多·赫茨尔发起锡安主义（又称“犹太复国主义”）运动，号召全世界犹太人回归故土，恢复本民族的生活方式。1897年8月29日在瑞士巴塞尔，他召集了第一届“世界锡安主义大会”，大会决议建立“一个得到公众承认的、有法律保障的家园（或国家）”[3]。“犹太国民基金”和“巴勒斯坦土地开发公司”等相应机构成立，帮助世界各地的犹太人移居巴勒斯坦。
p,第一次世界大战中，奥斯曼帝国加入了同盟国，与包括英国在内的协约国为敌。1915至1916年间，时任英国驻埃及高级官员亨利·麦克马洪与汉志阿拉伯教长侯赛因进行了五次通信，达成了巴勒斯坦、叙利亚和伊拉克等地的阿拉伯领袖与协约国共同对奥斯曼作战的协议，而英国同意战后建立独立的阿拉伯国家以交换。1916年9月，英国与法国达成了战后分割奥斯曼中东各省的《赛克斯-皮科协定》[4]。
p,锡安主义运动的发展推动了第二次回归的浪潮（1904-1914年），约有四万名犹太人返回定居。1917年，英国外交大臣阿瑟·贝尔福发表《贝尔福宣言》：“英王陛下政府赞成在巴勒斯坦建立一个犹太人的民族家园，并将尽最大努力促其实现”。当时，犹太人在巴勒斯坦地区除老依舒夫（英语：Old Yishuv）外只拥有少量土地。
p,1919年1月，哈伊姆·魏茨曼与伊拉克国王费萨尔一世签署了《费萨尔-魏茨曼协定（英语：Faisal–Weizmann agreement）》，费萨尔在协定中接受《贝尔福宣言》，但条件是英国必须遵守此前关于阿拉伯国家独立的承诺[5]。
h3,1920－1948：英属巴勒斯坦托管地[编辑]
p,"一战中，1915年，在丘吉尔的主导下，英法军队对奥斯曼帝国发动了加里波利之战，遭遇惨败。随后英国军官阿拉伯的劳伦斯组织当地以贝都因人部落为主的军事力量与奥斯曼帝国作战，有效削弱了奥斯曼帝国的势力。1918年一战结束后，奥斯曼帝国完全退出此地区并于1923年瓦解，而阿拉伯部落之间纷争不断，最后默认由英国占领。1920年，国际联盟委托英国管辖巴勒斯坦地区，包含今约旦、巴以地区。1922年英国将托管地划分为两部分：约旦河东部（现约旦）由哈希姆家族实际管理，约旦河西部由英国控制，此时这些地区犹太人占总人口的11%，与阿拉伯人混居。第一次世界大战后，犹太人掀起了第三和第四次回归浪潮。1931年，犹太人占当地总人口的17%。接着在1933年，纳粹党在德国执政，掀起第五次犹太人回归浪潮。1936年巴勒斯坦阿拉伯人大起义后，英国的皮尔委员会在1937年首次提议将巴勒斯坦地区划分为犹太国和阿拉伯国。1940年，犹太人已占当地居民总数的30%。随着犹太居民比例从1922年的11%增涨至1940年的30%，犹太人与阿拉伯人之间的关系也日趋紧张。对此英国在1939年颁布了一份白皮书，规定1939年后的5年内犹太人可再移民75,000人，此后不再接受犹太移民。许多犹太人和锡安主义者视这份白皮书为对犹太人的背叛，认为此举违背了《贝尔福宣言》，亦有犹太人持不同意见。阿拉伯人的抗议活动并没有就此平息，他们希望托管地政府完全停止准许犹太人移居当地。"
