Type,Content
h2,Contents
h1,Israeli–Palestinian conflict
p,
p,"The Israeli–Palestinian conflict is an ongoing military and political conflict in the Levant. Beginning in the mid-20th century, it is one of the world's longest-continuing conflicts.[3] Various attempts have been made to resolve the conflict as part of the Israeli–Palestinian peace process, alongside other efforts to resolve the broader Arab–Israeli conflict.[4][5][6][7] Public declarations of the desire to see a Jewish homeland established in Palestine, including the First Zionist Congress of 1897 and the Balfour Declaration of 1917, created early tensions in the region after waves of Jewish immigration. Following World War I, the Mandate for Palestine included a binding obligation for the ""establishment in Palestine of a national home for the Jewish people"". Tensions grew into open sectarian conflict between Jews and Arabs.[8][9] The 1947 United Nations Partition Plan for Palestine was never implemented and provoked the 1947–1949 Palestine War. The current Israeli-Palestinian status quo began following Israeli military occupation of the West Bank and Gaza, known as the Palestinian territories, in the 1967 Six-Day War."
p,"Progress was made towards a two-state solution with the Oslo Accords of 1993–1995. Final status issues include the status of Jerusalem, Israeli settlements, borders, security and water rights[10] as well as Palestinian freedom of movement[11] and the Palestinian right of return. The violence of the conflict in the region—rich in sites of historic, cultural, and religious interest worldwide—has been the subject of numerous international conferences dealing with historic rights, security issues, and human rights, and has been a factor limiting access to, and tourism in, areas that are highly contested.[12] The majority of peace efforts have been centred around the two-state solution, which involves the establishment of an independent Palestinian state alongside Israel. Public support for a two-state solution, which formerly enjoyed support from both Israeli Jews and Palestinians,[13][14][15] has dwindled in recent years.[16][17][18]"
p,"Within Israeli and Palestinian society, the conflict generates a wide variety of views and opinions, including that the violence perpetrated by the Israelis against the Palestinians is part of a genocide, and that Palestinians use worldwide terrorism to promote their interests. Since its inception, the conflict's casualties have not been restricted to combatants, with a large number of civilian fatalities on both sides. A minority of Jewish Israelis (32 percent) support a two-state solution with the Palestinians.[19] Israeli Jews are divided along ideological lines, and many favor maintaining the status quo.[17] Approximately 60 percent of Palestinians (77% in the Gaza Strip and 46% in the West Bank), support armed attacks against Israelis within Israel as a means of ending the occupation, while 70% believe that a two-state solution is no longer practical or possible as a result of the expansion of Israeli settlements.[18] More than two-thirds of Israeli Jews say that if the West Bank were annexed by Israel, Palestinians resident there should not be permitted to vote.[20] Mutual distrust and significant disagreements are deep over basic issues, as is the reciprocal skepticism about the other side's commitment to upholding obligations in an eventual bilateral agreement.[21] Since 2006, the Palestinian side has been fractured by conflict between Fatah, the traditionally dominant party, and its later electoral challenger, Hamas, a militant Islamist group that gained control of the Gaza Strip.[22] Attempts to remedy this have been repeated and continuing. Since 2019, the Israeli side has also been experiencing political upheaval, with four inconclusive legislative elections having been held over a span of two years.[23][24] The latest round of peace negotiations began in July 2013 but were suspended in 2014. Since 2006, Hamas and Israel have fought five wars, the most recent in 2023.[22]"
p,"The two parties that engage in direct negotiation are the Israeli government and the Palestine Liberation Organization (PLO). Official negotiations are mediated by the Quartet on the Middle East, which consists of the United Nations, the United States, Russia, and the European Union. The Arab League, which has proposed the Arab Peace Initiative, is another important actor. Egypt, a founding member of the Arab League, has historically been a key participant in the Arab–Israeli conflict and related negotiations, more so since the Egypt–Israel peace treaty. Another key participant is Jordan, which annexed the West Bank in 1950 and held it until 1967, relinquishing its territorial claim over it to the Palestinians in 1988. An Israel–Jordan peace treaty was signed in 1994. The Jordanian royal family, the Hashemites, are responsible for custodianship over Muslim and Christian holy sites in Jerusalem."
h2,Background
p,"The Israeli–Palestinian conflict has its roots in the late 19th and early 20th centuries, with the birth of major nationalist movements among the Jews and among the Arabs, both geared towards attaining sovereignty for their people in the Middle East.[26] The Balfour Declaration was a public statement issued by the British government in 1917 during the First World War announcing support for the establishment of a ""national home for the Jewish people"" in Palestine.[27] The collision between those two movements in southern Levant upon the emergence of Palestinian nationalism after the Franco-Syrian War in the 1920s escalated into the Sectarian conflict in Mandatory Palestine in 1930s and 1940s, and expanded into the wider Arab–Israeli conflict later on.[28]"
p,"The return of several hard-line Palestinian Arab nationalists, under the emerging leadership of Haj Amin al-Husseini, from Damascus to Mandatory Palestine marked the beginning of Palestinian Arab nationalist struggle towards establishment of a national home for Arabs of Palestine.[29] Amin al-Husseini, the architect of the Palestinian Arab national movement, immediately marked Jewish national movement and Jewish immigration to Palestine as the sole enemy to his cause,[30] initiating large-scale riots against the Jews as early as 1920 in Jerusalem and in 1921 in Jaffa. Among the results of the violence was the establishment of the Jewish paramilitary force Haganah. In 1929, a series of violent riots resulted in the deaths of 133 Jews and 116 Arabs, with significant Jewish casualties in Hebron and Safed, and the evacuation of Jews from Hebron and Gaza.[26]"
p,"In the early 1930s, the Arab national struggle in Palestine had drawn many Arab nationalist militants from across the Middle East, such as Sheikh Izaddin al-Qassam from Syria, who established the Black Hand militant group and had prepared the grounds for the 1936–1939 Arab revolt in Palestine. Following the death of al-Qassam at the hands of the British in late 1935, tensions erupted in 1936 into the Arab general strike and general boycott. The strike soon deteriorated into violence, and the Arab revolt was bloodily repressed by the British assisted by associated forces of the Jewish Settlement Police, the Jewish Supernumerary Police, and Special Night Squads.[28] In the first wave of organized violence, lasting until early 1937, most of the Arab groups were defeated by the British, and forced expulsion of much of the Arab leadership ensued. The revolt led to the establishment of the Peel Commission towards partitioning of Palestine, though it was subsequently rejected by the Palestinian Arabs. The two main Jewish leaders, Chaim Weizmann and David Ben-Gurion, accepted the recommendations but some secondary Jewish leaders disapproved of it.[31][32][33]"
