title,link,pubDate,text_cleaned,text_processed
Israel-Hamas war live: Gaza crisis deepens amid intense Israeli attacks | Israel-Palestine conflict News - Al Jazeera English,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy9saXZlYmxvZy8yMDIzLzEyLzYvaXNyYWVsLWhhbWFzLXdhci1saXZlLWdhemEtZGVhdGgtdG9sbC1jbGltYnMtYXMtaXNyYWVsLXBvdW5kcy1lbmNsYXZl0gEA?oc=5,"Wed, 06 Dec 2023 06:28:16 GMT",israelhamas war live gaza crisis deepens amid intense israeli attacks  israelpalestine conflict news  al jazeera english,israelhamas war live gaza crisis deepens amid intense israeli attacks israelpalestine conflict news al jazeera english
Kalki Koechlin leaves X amid Israel-Palestine conflict: Hate and disinformation… - India Today,https://news.google.com/rss/articles/CBMiqgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL21vdmllcy9jZWxlYnJpdGllcy9zdG9yeS9rYWxraS1rb2VjaGxpbi1sZWF2ZXMteC1hbWlkLWlzcmFlbC1wYWxlc3RpbmUtY29uZmxpY3QtaGF0ZS1hbmQtZGlzaW5mb3JtYXRpb24taS1oYXZlLWVub3VnaC1vZi10aGlzLTI0NzI2MjUtMjAyMy0xMi0wNtIBrgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9tb3ZpZXMvY2VsZWJyaXRpZXMvc3Rvcnkva2Fsa2kta29lY2hsaW4tbGVhdmVzLXgtYW1pZC1pc3JhZWwtcGFsZXN0aW5lLWNvbmZsaWN0LWhhdGUtYW5kLWRpc2luZm9ybWF0aW9uLWktaGF2ZS1lbm91Z2gtb2YtdGhpcy0yNDcyNjI1LTIwMjMtMTItMDY?oc=5,"Wed, 06 Dec 2023 08:00:53 GMT",kalki koechlin leaves x amid israelpalestine conflict hate and disinformation  india today,kalki koechlin leaves x amid israelpalestine conflict hate disinformation india today
Ambassadors to bring expert insight on Israeli-Palestinian conflict to Maine - Press Herald,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LnByZXNzaGVyYWxkLmNvbS8yMDIzLzEyLzA0L2FtYmFzc2Fkb3JzLXRvLWJyaW5nLWV4cGVydC1pbnNpZ2h0LWludG8taXNyYWVsaS1wYWxlc3Rpbmlhbi1jb25mbGljdC_SAQA?oc=5,"Mon, 04 Dec 2023 09:00:32 GMT",ambassadors to bring expert insight on israelipalestinian conflict to maine  press herald,ambassadors bring expert insight israelipalestinian conflict maine press herald
Israel Hamas war updates: Ground troops reach city in south Gaza - USA TODAY,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL3dvcmxkL2lzcmFlbC1oYW1hcy8yMDIzLzEyLzA1L2lzcmFlbC1oYW1hcy13YXItZ2F6YS1saXZlLXVwZGF0ZXMvNzE4MDkzOTgwMDcv0gEA?oc=5,"Wed, 06 Dec 2023 07:12:02 GMT",israel hamas war updates ground troops reach city in south gaza  usa today,israel hamas war updates ground troops reach city south gaza usa today
Moment of truth on the Palestinian issue - opinion - The Jerusalem Post,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3Lmpwb3N0LmNvbS9vcGluaW9uL2FydGljbGUtNzc2NzM00gEA?oc=5,"Tue, 05 Dec 2023 23:58:00 GMT",moment of truth on the palestinian issue  opinion  the jerusalem post,moment truth palestinian issue opinion jerusalem post
Opinion | Revive Trump's 'Vision' for Israeli-Palestinian Peace - The Wall Street Journal,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvcmV2aXZlLXRydW1wcy12aXNpb24tZm9yLWlzcmFlbGktcGFsZXN0aW5pYW4tcGVhY2UtbWlkZGxlLWVhc3QtY29uZmxpY3QtYzgxMjM2NjfSAQA?oc=5,"Sun, 03 Dec 2023 22:35:00 GMT",opinion  revive trumps vision for israelipalestinian peace  the wall street journal,opinion revive trumps vision israelipalestinian peace wall street journal
Oakland Unified pushes back against unsanctioned ‘teach-in’ on Hamas-Israel conflict - The Mercury News,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDIzLzEyLzA0L29ha2xhbmQtdW5pZmllZC1wdXNoZXMtYmFjay1hZ2FpbnN0LXVuc2FuY3Rpb25lZC10ZWFjaC1pbi1vbi1wYWxlc3RpbmUv0gFyaHR0cHM6Ly93d3cubWVyY3VyeW5ld3MuY29tLzIwMjMvMTIvMDQvb2FrbGFuZC11bmlmaWVkLXB1c2hlcy1iYWNrLWFnYWluc3QtdW5zYW5jdGlvbmVkLXRlYWNoLWluLW9uLXBhbGVzdGluZS9hbXAv?oc=5,"Tue, 05 Dec 2023 02:01:02 GMT",oakland unified pushes back against unsanctioned teachin on hamasisrael conflict  the mercury news,oakland unified pushes back against unsanctioned teachin hamasisrael conflict mercury news
Rapper Lowkey releases track in solidarity with Gaza as Israel war rages - Al Jazeera English,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vcHJvZ3JhbS9uZXdzZmVlZC8yMDIzLzEyLzQvcGFsZXN0aW5lLXdpbGwtbmV2ZXLSAU1odHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9wcm9ncmFtL25ld3NmZWVkLzIwMjMvMTIvNC9wYWxlc3RpbmUtd2lsbC1uZXZlcg?oc=5,"Mon, 04 Dec 2023 21:45:12 GMT",rapper lowkey releases track in solidarity with gaza as israel war rages  al jazeera english,rapper lowkey releases track solidarity gaza israel war rages al jazeera english
Israel's Failed Bombing Campaign in Gaza - Foreign Affairs Magazine,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmZvcmVpZ25hZmZhaXJzLmNvbS9pc3JhZWwvaXNyYWVscy1mYWlsZWQtYm9tYmluZy1jYW1wYWlnbi1nYXph0gEA?oc=5,"Wed, 06 Dec 2023 06:36:45 GMT",israels failed bombing campaign in gaza  foreign affairs magazine,israels failed bombing campaign gaza foreign affairs magazine
What are the implications of Israel’s reported use of AI in Gaza war? - Al Jazeera English,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vcHJvZ3JhbS9pbnNpZGUtc3RvcnkvMjAyMy8xMi8zL3doYXQtYXJlLXRoZS1pbXBsaWNhdGlvbnMtb2YtaXNyYWVscy1yZXBvcnRlZC11c2Utb2YtYWktaW4tZ2F6YS13YXLSAYABaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvcHJvZ3JhbS9pbnNpZGUtc3RvcnkvMjAyMy8xMi8zL3doYXQtYXJlLXRoZS1pbXBsaWNhdGlvbnMtb2YtaXNyYWVscy1yZXBvcnRlZC11c2Utb2YtYWktaW4tZ2F6YS13YXI?oc=5,"Sun, 03 Dec 2023 21:10:56 GMT",what are the implications of israels reported use of ai in gaza war  al jazeera english,implications israels reported use ai gaza war al jazeera english
