Type,Content,content_cleaned,content_segmented,content_processed
h2,目录,目录,目录,目录
h1,巴以冲突,巴以冲突,巴 以 冲突,巴 以 冲突
p,进行中,进行中,进行 中,进行 中
p,巴勒斯坦,巴勒斯坦,巴勒斯坦,巴勒斯坦
p,以色列-巴勒斯坦冲突是自1948年持续至今的冲突，与阿以冲突及中东战争密切相关。自约两千年前犹太人被罗马帝国逐出故土后，许多流亡的犹太人一直试图返回耶路撒冷及以色列地。第一次世界大战后，英国占领巴勒斯坦地区，建立巴勒斯坦托管地。英国在1917年的《贝尔福宣言》中承诺在阿拉伯人口占90%的巴勒斯坦地区帮助犹太人建立民族家园，这导致该地犹太人与阿拉伯人之间的冲突加剧，后演变成公开的民族冲突。二战期间纳粹大屠杀又加速了犹太人移居此地区。1947年11月，57个联合国成员国投票通过联合国大会第181号决议，将巴勒斯坦托管地分割为两个国家。议案以33票赞成、13票反对通过；美国、苏联及西欧国家投下赞成票，英国弃权，印度、阿拉伯国家反对议案。该决议通过后，第一次中东战争爆发。,以色列巴勒斯坦冲突是自年持续至今的冲突与阿以冲突及中东战争密切相关自约两千年前犹太人被罗马帝国逐出故土后许多流亡的犹太人一直试图返回耶路撒冷及以色列地第一次世界大战后英国占领巴勒斯坦地区建立巴勒斯坦托管地英国在年的贝尔福宣言中承诺在阿拉伯人口占的巴勒斯坦地区帮助犹太人建立民族家园这导致该地犹太人与阿拉伯人之间的冲突加剧后演变成公开的民族冲突二战期间纳粹大屠杀又加速了犹太人移居此地区年月个联合国成员国投票通过联合国大会第号决议将巴勒斯坦托管地分割为两个国家议案以票赞成票反对通过美国苏联及西欧国家投下赞成票英国弃权印度阿拉伯国家反对议案该决议通过后第一次中东战争爆发,以色列 巴勒斯坦 冲突 是 自年 持续 至今 的 冲突 与 阿以 冲突 及 中东战争 密切相关 自 约 两千年 前 犹太人 被 罗马帝国 逐出 故土 后 许多 流亡 的 犹太人 一直 试图 返回 耶路撒冷 及 以色列 地 第一次世界大战 后 英国 占领 巴勒斯坦地区 建立 巴勒斯坦 托管地 英国 在 年 的 贝尔福 宣言 中 承诺 在 阿拉伯 人口 占 的 巴勒斯坦地区 帮助 犹太人 建立 民族 家园 这 导致 该地 犹太人 与 阿拉伯人 之间 的 冲突 加剧 后 演变成 公开 的 民族 冲突 二战 期间 纳粹 大屠杀 又 加速 了 犹太人 移居 此 地区 年 月 个 联合国 成员国 投票 通过 联合国大会 第 号 决议 将 巴勒斯坦 托管地 分割 为 两个 国家 议案 以票 赞成票 反对 通过 美国 苏联 及 西欧国家 投 下 赞成票 英国 弃权 印度 阿拉伯 国家 反对 议案 该 决议 通过 后 第一次 中东战争 爆发,以色列 巴勒斯坦 冲突 自年 持续 至今 冲突 与 阿以 冲突 及 中东战争 密切相关 自 约 两千年 前 犹太人 被 罗马帝国 逐出 故土 后 许多 流亡 犹太人 一直 试图 返回 耶路撒冷 及 以色列 地 第一次世界大战 后 英国 占领 巴勒斯坦地区 建立 巴勒斯坦 托管地 英国 年 贝尔福 宣言 中 承诺 阿拉伯 人口 占 巴勒斯坦地区 帮助 犹太人 建立 民族 家园 导致 该地 犹太人 与 阿拉伯人 之间 冲突 加剧 后 演变成 公开 民族 冲突 二战 期间 纳粹 大屠杀 又 加速 犹太人 移居 此 地区 年 月 个 联合国 成员国 投票 通过 联合国大会 第 号 决议 将 巴勒斯坦 托管地 分割 为 两个 国家 议案 以票 赞成票 反对 通过 美国 苏联 及 西欧国家 投 下 赞成票 英国 弃权 印度 阿拉伯 国家 反对 议案 该 决议 通过 后 第一次 中东战争 爆发
p,1990年代的《奥斯陆协议》试图促成两国方案。这份协议大致划定了耶路撒冷的地位、以色列定居点、边界、安全、水权、巴勒斯坦人的自由行动权（英语：Palestinian freedom of movement）和回归权（英语：Palestinian right of return）。在争端双方的族群里，有些个人和团体呼吁完全消灭对方，双方皆有主张对方并非真正的民族，故无权建国的论述。现时大多数国家均支持以两国方案解决巴以冲突[2]；亦有人支持一国方案，即建立一个包括现在的以色列、约旦河西岸及加沙地带在内、种族及宗教地位平等的世俗国家；此外有三国方案，即将约旦河西岸和加沙地带分别并入约旦和埃及。,年代的奥斯陆协议试图促成两国方案这份协议大致划定了耶路撒冷的地位以色列定居点边界安全水权巴勒斯坦人的自由行动权英语和回归权英语在争端双方的族群里有些个人和团体呼吁完全消灭对方双方皆有主张对方并非真正的民族故无权建国的论述现时大多数国家均支持以两国方案解决巴以冲突亦有人支持一国方案即建立一个包括现在的以色列约旦河西岸及加沙地带在内种族及宗教地位平等的世俗国家此外有三国方案即将约旦河西岸和加沙地带分别并入约旦和埃及,年代 的 奥斯陆 协议 试图 促成 两 国 方案 这份 协议 大致 划定 了 耶路撒冷 的 地位 以色列 定居点 边界 安全 水 权 巴勒斯坦人 的 自由行动 权 英语 和 回归 权 英语 在 争端 双方 的 族群 里 有些 个人 和 团体 呼吁 完全 消灭 对方 双方 皆 有 主张 对方 并非 真正 的 民族 故 无权 建国 的 论述 现时 大多数 国家 均 支持 以 两国 方案 解决 巴 以 冲突 亦 有人 支持 一国 方案 即 建立 一个 包括 现在 的 以色列 约旦河西岸 及 加沙 地带 在内 种族 及 宗教 地位 平等 的 世俗 国家 此外 有 三国 方案 即将 约旦河西岸 和 加沙 地带 分别 并入 约旦 和 埃及,年代 奥斯陆 协议 试图 促成 两 国 方案 这份 协议 大致 划定 耶路撒冷 地位 以色列 定居点 边界 安全 水 权 巴勒斯坦人 自由行动 权 英语 回归 权 英语 争端 双方 族群 里 有些 个人 团体 呼吁 完全 消灭 对方 双方 皆 主张 对方 并非 真正 民族 故 无权 建国 论述 现时 大多数 国家 均 支持 以 两国 方案 解决 巴 以 冲突 亦 有人 支持 一国 方案 即 建立 包括 现在 以色列 约旦河西岸 及 加沙 地带 在内 种族 及 宗教 地位 平等 世俗 国家 此外 三国 方案 即将 约旦河西岸 加沙 地带 分别 并入 约旦 埃及
h2,历史[编辑],历史编辑,历史 编辑,历史 编辑
h3,19世纪－1920：起源[编辑],世纪起源编辑,世纪 起源 编辑,世纪 起源 编辑
p,巴以冲突始于1880年代巴勒斯坦地区阿拉伯人与犹太人之间的冲突。自公元135年被罗马帝国驱逐出以色列地以来，许许多多流亡海外的犹太人一直试图返回故土，18世纪以后有数波小型的回归潮，从数百到上千人不等。第一次大规模的回归浪潮则始于1881年，散居在世界其他地区的犹太人为了逃避迫害，开始回流到以色列地，即古迦南之地或古犹太国之地，今巴勒斯坦地区。犹太人从奥斯曼帝国和阿拉伯人手中购买土地并定居。,巴以冲突始于年代巴勒斯坦地区阿拉伯人与犹太人之间的冲突自公元年被罗马帝国驱逐出以色列地以来许许多多流亡海外的犹太人一直试图返回故土世纪以后有数波小型的回归潮从数百到上千人不等第一次大规模的回归浪潮则始于年散居在世界其他地区的犹太人为了逃避迫害开始回流到以色列地即古迦南之地或古犹太国之地今巴勒斯坦地区犹太人从奥斯曼帝国和阿拉伯人手中购买土地并定居,巴 以 冲突 始于 年代 巴勒斯坦地区 阿拉伯人 与 犹太人 之间 的 冲突 自 公元 年 被 罗马帝国 驱逐 出 以色列 地 以来 许许多多 流亡海外 的 犹太人 一直 试图 返回 故土 世纪 以后 有数 波 小型 的 回归 潮 从 数百 到 上千人 不 等 第一次 大规模 的 回归 浪潮 则 始于 年 散居 在 世界 其他 地区 的 犹太人 为了 逃避 迫害 开始 回流 到 以色列 地即 古 迦南 之地 或 古 犹太国 之地 今 巴勒斯坦地区 犹太人 从 奥斯曼帝国 和 阿拉伯人 手中 购买 土地 并 定居,巴 以 冲突 始于 年代 巴勒斯坦地区 阿拉伯人 与 犹太人 之间 冲突 自 公元 年 被 罗马帝国 驱逐 出 以色列 地 以来 许许多多 流亡海外 犹太人 一直 试图 返回 故土 世纪 以后 有数 波 小型 回归 潮 从 数百 上千人 等 第一次 大规模 回归 浪潮 则 始于 年 散居 世界 其他 地区 犹太人 为了 逃避 迫害 开始 回流 以色列 地即 古 迦南 之地 或 古 犹太国 之地 今 巴勒斯坦地区 犹太人 从 奥斯曼帝国 阿拉伯人 手中 购买 土地 并 定居
p,1896年，维也纳记者和剧作家西奥多·赫茨尔发起锡安主义（又称“犹太复国主义”）运动，号召全世界犹太人回归故土，恢复本民族的生活方式。1897年8月29日在瑞士巴塞尔，他召集了第一届“世界锡安主义大会”，大会决议建立“一个得到公众承认的、有法律保障的家园（或国家）”[3]。“犹太国民基金”和“巴勒斯坦土地开发公司”等相应机构成立，帮助世界各地的犹太人移居巴勒斯坦。,年维也纳记者和剧作家西奥多赫茨尔发起锡安主义又称犹太复国主义运动号召全世界犹太人回归故土恢复本民族的生活方式年月日在瑞士巴塞尔他召集了第一届世界锡安主义大会大会决议建立一个得到公众承认的有法律保障的家园或国家犹太国民基金和巴勒斯坦土地开发公司等相应机构成立帮助世界各地的犹太人移居巴勒斯坦,年 维也纳 记者 和 剧作家 西奥多 赫茨尔 发起 锡安 主义 又称 犹太 复国主义 运动 号召 全世界 犹太人 回归 故土 恢复 本 民族 的 生活 方式 年月日 在 瑞士 巴塞尔 他 召集 了 第一届 世界 锡安 主义 大会 大会决议 建立 一个 得到 公众 承认 的 有 法律 保障 的 家园 或 国家 犹太 国民 基金 和 巴勒斯坦 土地 开发 公司 等 相应 机构 成立 帮助 世界各地 的 犹太人 移居 巴勒斯坦,年 维也纳 记者 剧作家 西奥多 赫茨尔 发起 锡安 主义 又称 犹太 复国主义 运动 号召 全世界 犹太人 回归 故土 恢复 本 民族 生活 方式 年月日 瑞士 巴塞尔 他 召集 第一届 世界 锡安 主义 大会 大会决议 建立 得到 公众 承认 法律 保障 家园 或 国家 犹太 国民 基金 巴勒斯坦 土地 开发 公司 等 相应 机构 成立 帮助 世界各地 犹太人 移居 巴勒斯坦
