Type,Content,text_cleaned,text_processed,sentiment
h2,Contents,contents,contents,0.0
h1,Israeli–Palestinian conflict,israelipalestinian conflict,israelipalestinian conflict,0.0
p,"The Israeli–Palestinian conflict is an ongoing military and political conflict in the Levant. Beginning in the mid-20th century, it is one of the world's longest-continuing conflicts.[3] Various attempts have been made to resolve the conflict as part of the Israeli–Palestinian peace process, alongside other efforts to resolve the broader Arab–Israeli conflict.[4][5][6][7] Public declarations of the desire to see a Jewish homeland established in Palestine, including the First Zionist Congress of 1897 and the Balfour Declaration of 1917, created early tensions in the region after waves of Jewish immigration. Following World War I, the Mandate for Palestine included a binding obligation for the ""establishment in Palestine of a national home for the Jewish people"". Tensions grew into open sectarian conflict between Jews and Arabs.[8][9] The 1947 United Nations Partition Plan for Palestine was never implemented and provoked the 1947–1949 Palestine War. The current Israeli-Palestinian status quo began following Israeli military occupation of the West Bank and Gaza, known as the Palestinian territories, in the 1967 Six-Day War.",the israelipalestinian conflict is an ongoing military and political conflict in the levant beginning in the midth century it is one of the worlds longestcontinuing conflicts various attempts have been made to resolve the conflict as part of the israelipalestinian peace process alongside other efforts to resolve the broader arabisraeli conflict public declarations of the desire to see a jewish homeland established in palestine including the first zionist congress of  and the balfour declaration of  created early tensions in the region after waves of jewish immigration following world war i the mandate for palestine included a binding obligation for the establishment in palestine of a national home for the jewish people tensions grew into open sectarian conflict between jews and arabs the  united nations partition plan for palestine was never implemented and provoked the  palestine war the current israelipalestinian status quo began following israeli military occupation of the west bank and gaza known as the palestinian territories in the  sixday war,israelipalestinian conflict ongoing military political conflict levant beginning midth century one worlds longestcontinuing conflicts various attempts been made resolve conflict part israelipalestinian peace process alongside other efforts resolve broader arabisraeli conflict public declarations desire see jewish homeland established palestine including first zionist congress balfour declaration created early tensions region after waves jewish immigration following world war i mandate palestine included binding obligation establishment palestine national home jewish people tensions grew into open sectarian conflict between jews arabs united nations partition plan palestine never implemented provoked palestine war current israelipalestinian status quo began following israeli military occupation west bank gaza known palestinian territories sixday war,0.0016666666666666663
p,"Progress was made towards a two-state solution with the Oslo Accords of 1993–1995. Final status issues include the status of Jerusalem, Israeli settlements, borders, security and water rights[10] as well as Palestinian freedom of movement[11] and the Palestinian right of return. The violence of the conflict in the region—rich in sites of historic, cultural, and religious interest worldwide—has been the subject of numerous international conferences dealing with historic rights, security issues, and human rights, and has been a factor limiting access to, and tourism in, areas that are highly contested.[12] The majority of peace efforts have been centred around the two-state solution, which involves the establishment of an independent Palestinian state alongside Israel. Public support for a two-state solution, which formerly enjoyed support from both Israeli Jews and Palestinians,[13][14][15] has dwindled in recent years.[16][17][18]",progress was made towards a twostate solution with the oslo accords of  final status issues include the status of jerusalem israeli settlements borders security and water rights as well as palestinian freedom of movement and the palestinian right of return the violence of the conflict in the regionrich in sites of historic cultural and religious interest worldwidehas been the subject of numerous international conferences dealing with historic rights security issues and human rights and has been a factor limiting access to and tourism in areas that are highly contested the majority of peace efforts have been centred around the twostate solution which involves the establishment of an independent palestinian state alongside israel public support for a twostate solution which formerly enjoyed support from both israeli jews and palestinians has dwindled in recent years,progress made towards twostate solution oslo accords final status issues include status jerusalem israeli settlements borders security water rights well palestinian freedom movement palestinian right return violence conflict regionrich sites historic cultural religious interest worldwidehas been subject numerous international conferences dealing historic rights security issues human rights been factor limiting access tourism areas highly contested majority peace efforts been centred around twostate solution involves establishment independent palestinian state alongside israel public support twostate solution formerly enjoyed support both israeli jews palestinians dwindled recent years,0.05860317460317461
p,"Within Israeli and Palestinian society, the conflict generates a wide variety of views and opinions, including that the violence perpetrated by the Israelis against the Palestinians is part of a genocide, and that Palestinians use worldwide terrorism to promote their interests. Since its inception, the conflict's casualties have not been restricted to combatants, with a large number of civilian fatalities on both sides. A minority of Jewish Israelis (32 percent) support a two-state solution with the Palestinians.[19] Israeli Jews are divided along ideological lines, and many favor maintaining the status quo.[17] Approximately 60 percent of Palestinians (77% in the Gaza Strip and 46% in the West Bank), support armed attacks against Israelis within Israel as a means of ending the occupation, while 70% believe that a two-state solution is no longer practical or possible as a result of the expansion of Israeli settlements.[18] More than two-thirds of Israeli Jews say that if the West Bank were annexed by Israel, Palestinians resident there should not be permitted to vote.[20] Mutual distrust and significant disagreements are deep over basic issues, as is the reciprocal skepticism about the other side's commitment to upholding obligations in an eventual bilateral agreement.[21] Since 2006, the Palestinian side has been fractured by conflict between Fatah, the traditionally dominant party, and its later electoral challenger, Hamas, a militant Islamist group that gained control of the Gaza Strip.[22] Attempts to remedy this have been repeated and continuing. Since 2019, the Israeli side has also been experiencing political upheaval, with four inconclusive legislative elections having been held over a span of two years.[23][24] The latest round of peace negotiations began in July 2013 but were suspended in 2014. Since 2006, Hamas and Israel have fought five wars, the most recent in 2023.[22]",within israeli and palestinian society the conflict generates a wide variety of views and opinions including that the violence perpetrated by the israelis against the palestinians is part of a genocide and that palestinians use worldwide terrorism to promote their interests since its inception the conflicts casualties have not been restricted to combatants with a large number of civilian fatalities on both sides a minority of jewish israelis  percent support a twostate solution with the palestinians israeli jews are divided along ideological lines and many favor maintaining the status quo approximately  percent of palestinians  in the gaza strip and  in the west bank support armed attacks against israelis within israel as a means of ending the occupation while  believe that a twostate solution is no longer practical or possible as a result of the expansion of israeli settlements more than twothirds of israeli jews say that if the west bank were annexed by israel palestinians resident there should not be permitted to vote mutual distrust and significant disagreements are deep over basic issues as is the reciprocal skepticism about the other sides commitment to upholding obligations in an eventual bilateral agreement since  the palestinian side has been fractured by conflict between fatah the traditionally dominant party and its later electoral challenger hamas a militant islamist group that gained control of the gaza strip attempts to remedy this have been repeated and continuing since  the israeli side has also been experiencing political upheaval with four inconclusive legislative elections having been held over a span of two years the latest round of peace negotiations began in july  but were suspended in  since  hamas and israel have fought five wars the most recent in ,within israeli palestinian society conflict generates wide variety views opinions including violence perpetrated israelis against palestinians part genocide palestinians use worldwide terrorism promote interests since inception conflicts casualties been restricted combatants large number civilian fatalities both sides minority jewish israelis percent support twostate solution palestinians israeli jews divided along ideological lines many favor maintaining status quo approximately percent palestinians gaza strip west bank support armed attacks against israelis within israel means ending occupation while believe twostate solution no longer practical possible result expansion israeli settlements more than twothirds israeli jews say if west bank were annexed israel palestinians resident there should permitted vote mutual distrust significant disagreements deep over basic issues reciprocal skepticism about other sides commitment upholding obligations eventual bilateral agreement since palestinian side been fractured conflict between fatah traditionally dominant party later electoral challenger hamas militant islamist group gained control gaza strip attempts remedy been repeated continuing since israeli side also been experiencing political upheaval four inconclusive legislative elections having been held over span two years latest round peace negotiations began july but were suspended since hamas israel fought five wars most recent,0.09801587301587303
p,"The two parties that engage in direct negotiation are the Israeli government and the Palestine Liberation Organization (PLO). Official negotiations are mediated by the Quartet on the Middle East, which consists of the United Nations, the United States, Russia, and the European Union. The Arab League, which has proposed the Arab Peace Initiative, is another important actor. Egypt, a founding member of the Arab League, has historically been a key participant in the Arab–Israeli conflict and related negotiations, more so since the Egypt–Israel peace treaty. Another key participant is Jordan, which annexed the West Bank in 1950 and held it until 1967, relinquishing its territorial claim over it to the Palestinians in 1988. An Israel–Jordan peace treaty was signed in 1994. The Jordanian royal family, the Hashemites, are responsible for custodianship over Muslim and Christian holy sites in Jerusalem.",the two parties that engage in direct negotiation are the israeli government and the palestine liberation organization plo official negotiations are mediated by the quartet on the middle east which consists of the united nations the united states russia and the european union the arab league which has proposed the arab peace initiative is another important actor egypt a founding member of the arab league has historically been a key participant in the arabisraeli conflict and related negotiations more so since the egyptisrael peace treaty another key participant is jordan which annexed the west bank in  and held it until  relinquishing its territorial claim over it to the palestinians in  an israeljordan peace treaty was signed in  the jordanian royal family the hashemites are responsible for custodianship over muslim and christian holy sites in jerusalem,two parties engage direct negotiation israeli government palestine liberation organization plo official negotiations mediated quartet middle east consists united nations united states russia european union arab league proposed arab peace initiative another important actor egypt founding member arab league historically been key participant arabisraeli conflict related negotiations more so since egyptisrael peace treaty another key participant jordan annexed west bank held until relinquishing territorial claim over palestinians israeljordan peace treaty signed jordanian royal family hashemites responsible custodianship over muslim christian holy sites jerusalem,0.10909090909090909
h2,Background,background,background,0.0
p,"The Israeli–Palestinian conflict has its roots in the late 19th and early 20th centuries, with the birth of major nationalist movements among the Jews and among the Arabs, both geared towards attaining sovereignty for their people in the Middle East.[26] The Balfour Declaration was a public statement issued by the British government in 1917 during the First World War announcing support for the establishment of a ""national home for the Jewish people"" in Palestine.[27] The collision between those two movements in southern Levant upon the emergence of Palestinian nationalism after the Franco-Syrian War in the 1920s escalated into the Sectarian conflict in Mandatory Palestine in 1930s and 1940s, and expanded into the wider Arab–Israeli conflict later on.[28]",the israelipalestinian conflict has its roots in the late th and early th centuries with the birth of major nationalist movements among the jews and among the arabs both geared towards attaining sovereignty for their people in the middle east the balfour declaration was a public statement issued by the british government in  during the first world war announcing support for the establishment of a national home for the jewish people in palestine the collision between those two movements in southern levant upon the emergence of palestinian nationalism after the francosyrian war in the s escalated into the sectarian conflict in mandatory palestine in s and s and expanded into the wider arabisraeli conflict later on,israelipalestinian conflict roots late th early th centuries birth major nationalist movements among jews among arabs both geared towards attaining sovereignty people middle east balfour declaration public statement issued british government during first world war announcing support establishment national home jewish people palestine collision between those two movements southern levant upon emergence palestinian nationalism after francosyrian war s escalated into sectarian conflict mandatory palestine s s expanded into wider arabisraeli conflict later,0.011250000000000001
p,"The return of several hard-line Palestinian Arab nationalists, under the emerging leadership of Haj Amin al-Husseini, from Damascus to Mandatory Palestine marked the beginning of Palestinian Arab nationalist struggle towards establishment of a national home for Arabs of Palestine.[29] Amin al-Husseini, the architect of the Palestinian Arab national movement, immediately marked Jewish national movement and Jewish immigration to Palestine as the sole enemy to his cause,[30] initiating large-scale riots against the Jews as early as 1920 in Jerusalem and in 1921 in Jaffa. Among the results of the violence was the establishment of the Jewish paramilitary force Haganah. In 1929, a series of violent riots resulted in the deaths of 133 Jews and 116 Arabs, with significant Jewish casualties in Hebron and Safed, and the evacuation of Jews from Hebron and Gaza.[26]",the return of several hardline palestinian arab nationalists under the emerging leadership of haj amin alhusseini from damascus to mandatory palestine marked the beginning of palestinian arab nationalist struggle towards establishment of a national home for arabs of palestine amin alhusseini the architect of the palestinian arab national movement immediately marked jewish national movement and jewish immigration to palestine as the sole enemy to his cause initiating largescale riots against the jews as early as  in jerusalem and in  in jaffa among the results of the violence was the establishment of the jewish paramilitary force haganah in  a series of violent riots resulted in the deaths of  jews and  arabs with significant jewish casualties in hebron and safed and the evacuation of jews from hebron and gaza,return several hardline palestinian arab nationalists under emerging leadership haj amin alhusseini damascus mandatory palestine marked beginning palestinian arab nationalist struggle towards establishment national home arabs palestine amin alhusseini architect palestinian arab national movement immediately marked jewish national movement jewish immigration palestine sole enemy his cause initiating largescale riots against jews early jerusalem jaffa among results violence establishment jewish paramilitary force haganah series violent riots resulted deaths jews arabs significant jewish casualties hebron safed evacuation jews hebron gaza,-0.011363636363636364
p,"In the early 1930s, the Arab national struggle in Palestine had drawn many Arab nationalist militants from across the Middle East, such as Sheikh Izaddin al-Qassam from Syria, who established the Black Hand militant group and had prepared the grounds for the 1936–1939 Arab revolt in Palestine. Following the death of al-Qassam at the hands of the British in late 1935, tensions erupted in 1936 into the Arab general strike and general boycott. The strike soon deteriorated into violence, and the Arab revolt was bloodily repressed by the British assisted by associated forces of the Jewish Settlement Police, the Jewish Supernumerary Police, and Special Night Squads.[28] In the first wave of organized violence, lasting until early 1937, most of the Arab groups were defeated by the British, and forced expulsion of much of the Arab leadership ensued. The revolt led to the establishment of the Peel Commission towards partitioning of Palestine, though it was subsequently rejected by the Palestinian Arabs. The two main Jewish leaders, Chaim Weizmann and David Ben-Gurion, accepted the recommendations but some secondary Jewish leaders disapproved of it.[31][32][33]",in the early s the arab national struggle in palestine had drawn many arab nationalist militants from across the middle east such as sheikh izaddin alqassam from syria who established the black hand militant group and had prepared the grounds for the  arab revolt in palestine following the death of alqassam at the hands of the british in late  tensions erupted in  into the arab general strike and general boycott the strike soon deteriorated into violence and the arab revolt was bloodily repressed by the british assisted by associated forces of the jewish settlement police the jewish supernumerary police and special night squads in the first wave of organized violence lasting until early  most of the arab groups were defeated by the british and forced expulsion of much of the arab leadership ensued the revolt led to the establishment of the peel commission towards partitioning of palestine though it was subsequently rejected by the palestinian arabs the two main jewish leaders chaim weizmann and david bengurion accepted the recommendations but some secondary jewish leaders disapproved of it,early s arab national struggle palestine drawn many arab nationalist militants across middle east such sheikh izaddin alqassam syria who established black hand militant group prepared grounds arab revolt palestine following death alqassam hands british late tensions erupted into arab general strike general boycott strike soon deteriorated into violence arab revolt bloodily repressed british assisted associated forces jewish settlement police jewish supernumerary police special night squads first wave organized violence lasting until early most arab groups were defeated british forced expulsion much arab leadership ensued revolt led establishment peel commission towards partitioning palestine though subsequently rejected palestinian arabs two main jewish leaders chaim weizmann david bengurion accepted recommendations but some secondary jewish leaders disapproved,0.015079365079365081
