Topics
"(0, '0.040*""conflict"" + 0.031*""israelipalestinian"" + 0.021*""history"" + 0.021*""gaza"" + 0.019*""killed"" + 0.013*""israel"" + 0.012*""war"" + 0.011*""wpr"" + 0.011*""politics"" + 0.011*""world""')"
"(1, '0.032*""jazeera"" + 0.032*""al"" + 0.032*""english"" + 0.022*""stanford"" + 0.022*""news"" + 0.022*""truce"" + 0.022*""hamas"" + 0.022*""war"" + 0.011*""report"" + 0.011*""ahead""')"
"(2, '0.043*""jazeera"" + 0.043*""al"" + 0.043*""english"" + 0.031*""conflict"" + 0.031*""gaza"" + 0.023*""israelpalestine"" + 0.022*""israeli"" + 0.020*""war"" + 0.018*""israelipalestinian"" + 0.018*""israel""')"
"(3, '0.047*""al"" + 0.047*""english"" + 0.047*""jazeera"" + 0.032*""war"" + 0.032*""gaza"" + 0.032*""israel"" + 0.024*""palestinians"" + 0.016*""israelhamas"" + 0.016*""resumes"" + 0.016*""updates""')"
"(4, '0.071*""al"" + 0.071*""english"" + 0.071*""jazeera"" + 0.050*""israel"" + 0.040*""gaza"" + 0.018*""palestine"" + 0.015*""war"" + 0.015*""conflict"" + 0.015*""israels"" + 0.011*""israelipalestinian""')"
"(5, '0.062*""conflict"" + 0.047*""israelpalestine"" + 0.024*""israelipalestinian"" + 0.016*""harvard"" + 0.016*""gazette"" + 0.016*""peace"" + 0.010*""war"" + 0.008*""tensions"" + 0.008*""high"" + 0.008*""rights""')"
"(6, '0.002*""english"" + 0.002*""al"" + 0.002*""jazeera"" + 0.002*""gaza"" + 0.002*""conflict"" + 0.002*""war"" + 0.002*""israel"" + 0.002*""israelipalestinian"" + 0.002*""israelhamas"" + 0.002*""israeli""')"
"(7, '0.046*""conflict"" + 0.031*""israelipalestinian"" + 0.016*""individual"" + 0.016*""public"" + 0.016*""education"" + 0.016*""school"" + 0.016*""foundation"" + 0.016*""jersey"" + 0.016*""new"" + 0.016*""comments""')"
"(8, '0.084*""english"" + 0.084*""al"" + 0.084*""jazeera"" + 0.062*""war"" + 0.053*""israelhamas"" + 0.037*""key"" + 0.037*""day"" + 0.037*""list"" + 0.037*""events"" + 0.030*""gaza""')"
"(9, '0.031*""israelhamas"" + 0.030*""war"" + 0.026*""news"" + 0.025*""us"" + 0.024*""resumes"" + 0.019*""gaza"" + 0.018*""al"" + 0.018*""english"" + 0.018*""jazeera"" + 0.013*""report""')"
