Topics
"(0, '0.014*""lebanon"" + 0.012*""war"" + 0.011*""civil"" + 0.008*""lebanese"" + 0.007*""israel"" + 0.007*""militants"" + 0.007*""palestinian"" + 0.007*""attacks"" + 0.006*""initial"" + 0.005*""forces""')"
"(1, '0.022*""area"" + 0.010*""jerusalem"" + 0.009*""occupied"" + 0.009*""majority"" + 0.008*""states"" + 0.007*""territory"" + 0.007*""palestinian"" + 0.007*""october"" + 0.007*""israels"" + 0.007*""east""')"
"(2, '0.039*""palestinian"" + 0.026*""israeli"" + 0.023*""israel"" + 0.017*""gaza"" + 0.013*""palestinians"" + 0.012*""west"" + 0.012*""bank"" + 0.010*""strip"" + 0.008*""war"" + 0.007*""state""')"
"(3, '0.027*""palestine"" + 0.026*""israel"" + 0.023*""state"" + 0.017*""jewish"" + 0.015*""palestinian"" + 0.009*""palestinians"" + 0.009*""conflict"" + 0.008*""became"" + 0.008*""among"" + 0.007*""israeli""')"
"(4, '0.000*""valley"" + 0.000*""stipulation"" + 0.000*""comprise"" + 0.000*""forward"" + 0.000*""core"" + 0.000*""neighbourhoods"" + 0.000*""containing"" + 0.000*""banks"" + 0.000*""bill"" + 0.000*""en""')"
"(5, '0.019*""arab"" + 0.013*""resolution"" + 0.009*""ii"" + 0.009*""jerusalem"" + 0.009*""palestinian"" + 0.009*""world"" + 0.008*""palestine"" + 0.008*""war"" + 0.007*""return"" + 0.007*""must""')"
"(6, '0.020*""conflict"" + 0.018*""israel"" + 0.018*""hamas"" + 0.017*""bank"" + 0.016*""west"" + 0.016*""palestinian"" + 0.014*""gaza"" + 0.013*""israeli"" + 0.011*""blockade"" + 0.011*""peace""')"
"(7, '0.022*""water"" + 0.020*""settlements"" + 0.014*""israel"" + 0.014*""palestinian"" + 0.013*""israeli"" + 0.012*""west"" + 0.012*""bank"" + 0.012*""security"" + 0.010*""land"" + 0.008*""borders""')"
"(8, '0.019*""arab"" + 0.017*""palestinian"" + 0.014*""peace"" + 0.009*""palestine"" + 0.009*""israeli"" + 0.008*""united"" + 0.008*""palestinians"" + 0.008*""summit"" + 0.008*""process"" + 0.007*""us""')"
"(9, '0.016*""million"" + 0.016*""people"" + 0.016*""un"" + 0.014*""refugees"" + 0.011*""gaza"" + 0.010*""israel"" + 0.009*""dispute"" + 0.007*""reported"" + 0.007*""peace"" + 0.007*""population""')"
